Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 52,     Conv, 128, 10, 10, 128, 10, 10, 128, ROW_L, 44, 64, 136, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 128, 41088, 0, 0, ,,,,,,,, MSMC, CPU, 320, 200, 128, 41088, 0, a1600, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304256, 0, 57180, ,,,,,,,, 
 53,   Concat, 256, 10, 10, 256, 10, 10, 256,  COL, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 256, 81920, 0, 0, ,,,,,,,, MSMC, CPU, 320, 240, 256, 82048, 20, 57180, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 54,     Conv, 256, 10, 10, 256, 10, 10, 256, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 256, 82048, 0, 0, ,,,,,,,, MSMC, CPU, 320, 240, 256, 82048, 20, 57180, ,,,,,,,, MSMC, DMA, 576, 512, 256, 149632, 0, 6b200, ,,,,,,,, 
 55,     Conv, 256, 10, 10, 128, 10, 10, 256, ROW_L, 0, 0, 200, 200, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 256, 82048, 0, 0, ,,,,,,,, MSMC, CPU, 320, 240, 128, 41088, 20, 33080, ,,,,,,,, MSMC, DMA, 576, 512, 128, 74880, 0, 6b200, ,,,,,,,, 
 56,   Resize, 128, 10, 10, 128, 20, 20, 128,  COL, 0, 0, 240, 240, 1, 1, 1,,,,,,,,, L2, DMA, 320, 320, 128, 40960, 0, 0, ,,,,,,,, MSMC, CPU, 960, 880, 128, 123008, 40, 57200, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 57,   Concat, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 256, 212992, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 75280, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 58,     Conv, 256, 20, 20, 64, 20, 20, 256, ROW_L, 0, 0, 416, 800, 2, 1, 2,,,,,,,,, L2, DMA, 832, 832, 256, 213120, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 3d100, ,,,,,,,, MSMC, DMA, 576, 512, 64, 37504, 0, a9300, ,,,,,,,, 
 59,     Conv, 256, 20, 20, 64, 20, 20, 256, ROW_L, 0, 0, 416, 800, 2, 1, 2,,,,,,,,, L2, DMA, 832, 832, 256, 213120, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 53700, ,,,,,,,, MSMC, DMA, 576, 512, 64, 37504, 0, 4a180, ,,,,,,,, 
 60,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 53376, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 4a180, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12928, 0, 60780, ,,,,,,,, 
 61,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 54016, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 4a180, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 57200, ,,,,,,,, 
 62,   Concat, 128, 20, 20, 128, 20, 20, 128,  COL, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106496, 0, 0, ,,,,,,,, MSMC, CPU, 960, 880, 128, 123008, 40, 57200, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 63,     Conv, 128, 20, 20, 128, 20, 20, 128, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106624, 0, 0, ,,,,,,,, MSMC, CPU, 960, 880, 128, 123008, 40, 4c1c0, ,,,,,,,, MSMC, DMA, 320, 256, 128, 42112, 0, 75280, ,,,,,,,, 
 64,     Conv, 128, 20, 20, 64, 20, 20, 128, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106624, 0, 0, ,,,,,,,, MSMC, CPU, 960, 880, 64, 61568, 40, 3d100, ,,,,,,,, MSMC, DMA_ONCE, 320, 256, 64, 21120, 0, eba00, ,,,,,,,, 
 65,   Resize, 64, 20, 20, 64, 40, 40, 64,  COL, 0, 0, 880, 880, 1, 1, 1,,,,,,,,, L2, DMA, 960, 960, 64, 61440, 0, 0, ,,,,,,,, MSMC, CPU, 3392, 3360, 64, 217216, 80, 4c200, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 66,   Concat, 128, 40, 40, 128, 40, 40, 128,  COL, 0, 0, 3200, 3200, 4, 1, 4,,,,,,,,, L2, DMA, 3264, 3264, 64, 208896, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 81280, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 67,     Conv, 128, 40, 40, 32, 40, 40, 128, ROW_L, 0, 0, 864, 3200, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 0, ,,,,,,,, MSMC, DMA, 320, 256, 32, 10880, 0, e7300, ,,,,,,,, 
 68,     Conv, 128, 40, 40, 32, 40, 40, 128, ROW_L, 0, 0, 864, 3200, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 4c180, ,,,,,,,, MSMC, DMA, 320, 256, 32, 10880, 0, 19880, ,,,,,,,, 
 69,     Conv, 32, 40, 40, 32, 40, 40, 32, ROW_L, 0, 0, 3200, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 32, 104576, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 4c180, ,,,,,,,, MSMC, DMA_ONCE, 64, 64, 32, 2688, 0, f0c80, ,,,,,,,, 
 70,     Conv, 32, 40, 40, 32, 40, 40, 32, ROW_L, 164, 192, 3008, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 32, 107520, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 32, 104576, 0, 4c180, ,,,,,,,, MSMC, DMA, 576, 576, 32, 19072, 0, 19880, ,,,,,,,, 
 71,   Concat, 64, 40, 40, 64, 40, 40, 64,  COL, 0, 0, 3200, 3200, 1, 1, 1,,,,,,,,, L2, DMA, 3264, 3264, 64, 208896, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 64, 209024, 0, 65a00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 72,     Conv, 64, 40, 40, 64, 40, 40, 64, ROW_L, 0, 0, 1760, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 64, 209024, 0, 0, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12928, 0, 98a80, ,,,,,,,, 
 73,     Conv, 64, 40, 40, 64, 40, 40, 64, ROW_L, 0, 0, 1760, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 64, 209024, 0, 4c180, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12928, 0, 7f200, ,,,,,,,, 
 74,     Conv, 64, 40, 40, 64, 40, 40, 64, ROW_L, 164, 192, 1664, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 64, 209024, 0, 92480, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 7f200, ,,,,,,,, 
 75,     Conv, 64, 40, 40, 64, 40, 40, 64, ROW_L, 164, 192, 1664, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 64, 209024, 0, 92480, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 7f200, ,,,,,,,, 
 76,     Conv, 64, 40, 40, 1, 40, 40, 64, ROW_L, 0, 0, 1760, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 1, 3456, 0, 7f580, ,,,,,,,, MSMC, DMA, 192, 128, 1, 896, 0, 7f200, L2, DMA_ONCE, 192, 192, 1, 896, 0, 37480, 
 77,     Conv, 64, 40, 40, 64, 40, 40, 64, ROW_L, 164, 192, 1664, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 64, 209024, 0, 4c180, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 80300, ,,,,,,,, 
 78,     Conv, 64, 40, 40, 64, 40, 40, 64, ROW_L, 164, 192, 1664, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 64, 209024, 0, 4c180, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 80300, ,,,,,,,, 
 80,     Conv, 64, 40, 40, 1, 40, 40, 64, ROW_L, 0, 0, 1760, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 1, 3456, 0, 80300, ,,,,,,,, MSMC, DMA, 192, 128, 1, 896, 0, 7f200, ,,,,,,,, 
 79,     Conv, 64, 40, 40, 4, 40, 40, 64, ROW_L, 0, 0, 1760, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3520, 3520, 64, 225408, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 4, 13184, 0, 64cc0, ,,,,,,,, MSMC, DMA, 192, 128, 4, 1408, 0, 81080, ,,,,,,,, 
 81,   Concat, 6, 40, 40, 6, 40, 40, 6,  COL, 0, 0, 3200, 3200, 6, 1, 6,,,,,,,,, L2, DMA, 3264, 3264, 2, 6528, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 6, 19712, 0, 4c180, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 82,     Conv, 64, 40, 40, 64, 20, 20, 64, ROW_L, 80, 80, 1600, 3200, 2, 1, 2,,,,,,,,, L2, DMA, 3392, 3392, 64, 217216, 0, 0, ,,,,,,,, MSMC, CPU, 832, 802, 64, 53376, 0, 64100, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 50e80, ,,,,,,,, 
 83,   Concat, 128, 20, 20, 128, 20, 20, 128,  COL, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106496, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 128, 106624, 0, d080, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 84,     Conv, 128, 20, 20, 64, 20, 20, 128, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106624, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, 0, ,,,,,,,, MSMC, DMA, 320, 256, 64, 21120, 0, 27100, ,,,,,,,, 
 85,     Conv, 128, 20, 20, 64, 20, 20, 128, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106624, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, d080, ,,,,,,,, MSMC, DMA, 320, 256, 64, 21120, 0, 27100, ,,,,,,,, 
 86,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 53376, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, d080, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12928, 0, 1a100, ,,,,,,,, 
 87,     Conv, 64, 20, 20, 64, 20, 20, 64, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 64, 54016, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 64, 53376, 0, d080, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78464, 0, 1a100, ,,,,,,,, 
